Player,Pos,Class,School,Conference,Year,Passing,Rushing,Receiving,Total
Kyler Murray,QB,JR,Oklahoma,Big 12,2018,19.59032346,8.229962865,,27.82028633
Joe Burrow,QB,SR,LSU,SEC,2019,21.02256821,2.856673756,0.138395768,24.01763773
Jameis Winston,QB,FR,Florida State,ACC,2013,20.14441327,2.106831942,,22.25124521
Jordan Lynch,QB,JR,Northern Illinois,MAC,2012,10.7461791,11.39427648,,22.14045558
Quinton Flowers,QB,JR,USF,American,2016,11.71886324,10.35024755,-0.02911273,22.03999806
Jalen Hurts,QB,SR,Oklahoma,Big 12,2019,13.0264482,8.386877876,0.197319161,21.61064524
Lamar Jackson,QB,SO,Louisville,ACC,2016,11.91647997,9.500114502,,21.41659447
Cam Newton,QB,JR,Auburn,SEC,2010,11.06708826,9.725150305,0.380019151,21.17225772
Marcus Mariota,QB,JR,Oregon,Pac-12,2014,15.64122938,5.048210094,0.21304472,20.90248419
McKenzie Milton,QB,SO,UCF,American,2017,15.87086256,4.572245817,,20.44310838
Jordan Lynch,QB,SR,Northern Illinois,MAC,2013,9.422050944,10.46217454,0.129232823,20.01345831
Montee Ball,RB,JR,Wisconsin,Big Ten,2011,0.258982063,16.30623718,3.244091061,19.8093103
Johnny Manziel,QB,FR,Texas A&M,SEC,2012,10.77962906,8.057080824,,18.83670988
Christian McCaffrey,RB,SO,Stanford,Pac-12,2015,0.145627905,12.99129476,5.619743535,18.7566662
Malcolm Perry,QB,SR,Navy,American,2019,6.005269499,12.6730872,,18.6783567
Ryan Higgins,QB,SR,Louisiana Tech,CUSA,2016,16.51971621,1.986129821,,18.50584603
Case Keenum,QB,SR,Houston,CUSA,2011,18.21867557,0.246491434,,18.465167
Marquise Williams,QB,SR,North Carolina,ACC,2015,11.55619187,6.467630452,0.325120999,18.34894332
Baker Mayfield,QB,SR,Oklahoma,Big 12,2017,16.18221898,2.106568045,0.016262957,18.30504998
Trevone Boykin,QB,JR,TCU,Big 12,2014,13.25044169,4.553074399,0.420055872,18.22357196
Rakeem Cato,QB,SR,Marshall,CUSA,2014,14.84053188,3.263232779,,18.10376466
Colin Kaepernick,QB,SR,Nevada,WAC,2010,10.7401488,7.355150403,,18.0952992
Johnny Manziel,QB,SO,Texas A&M,SEC,2013,13.16207564,4.882961434,,18.04503707
Chandler Harnish,QB,SR,Northern Illinois,MAC,2011,9.909094641,7.979424502,,17.88851914
Russell Wilson,QB,SR,Wisconsin,Big Ten,2011,14.42575506,2.866098895,0.593689876,17.88554383
J.T. Barrett,QB,FR,Ohio State,Big Ten,2014,11.27547647,6.401609194,,17.67708566
J.K. Dobbins,RB,JR,Ohio State,Big Ten,2019,,15.26057407,2.408927264,17.66950133
Robert Griffin III,QB,JR,Baylor,Big 12,2011,13.1995656,4.334287126,0.107118894,17.64097162
