"Player","Pos","Class","School","Conference","Season","Total"
"Manti Te'o","LB","SR","Notre Dame","Independent",2012,20.2729
"Mykal Walker","DL","JR","Fresno State","Mountain West",2018,19.0736
"Luq Barcoo","DB","SR","San Diego State","Mountain West",2019,16.2636
"Ben Burr-Kirven","LB","SR","Washington","Pac-12",2018,16.2483
"DeAngelo Malone","DL","JR","Western Kentucky","CUSA",2019,16.2222
"Khaseem Greene","LB","SR","Rutgers","Big East",2012,15.5401
"Luke Kuechly","LB","JR","Boston College","ACC",2011,15.129
"Malik Hooker","DB","SO","Ohio State","Big Ten",2016,15.0828
"Kurtis Drummond","DB","JR","Michigan State","Big Ten",2013,15.0101
"Joe Schobert","LB","SR","Wisconsin","Big Ten",2015,14.9486
"Kyle Van Noy","LB","JR","BYU","Independent",2012,14.9294
"Luke Kuechly","LB","SO","Boston College","ACC",2010,14.8303
"Courtney Upshaw","LB","SR","Alabama","SEC",2011,14.7737
"Dont'a Hightower","LB","JR","Alabama","SEC",2011,14.4995
"DeMarcus Walker","DL","JR","Florida State","ACC",2015,14.416
"Kentrell Brothers","LB","SR","Missouri","SEC",2015,14.3316
"Paul Dawson","LB","SR","TCU","Big 12",2014,14.3199
"Phillip Thomas","DB","SR","Fresno State","Mountain West",2012,14.1623
"Chase Young","DL","JR","Ohio State","Big Ten",2019,14.0626
"Marcus Davenport","DL","SR","UTSA","CUSA",2017,14.0191
"Evan Weaver","LB","SR","California","Pac-12",2019,13.9884
"Louis Nix III","DL","JR","Notre Dame","Independent",2012,13.8135
"Telvin Smith","LB","SR","Florida State","ACC",2013,13.7879
"C.J. Mosley","LB","JR","Alabama","SEC",2012,13.7235
"Jeffery Simmons","DL","JR","Mississippi State","SEC",2018,13.7207
"A.J. Epenesa","DL","JR","Iowa","Big Ten",2019,13.7103
"Kenny Willekes","DL","JR","Michigan State","Big Ten",2018,13.6942
"Jawuan Johnson","LB","JR","Northern Illinois","MAC",2017,13.6283
"DeShon Elliott","DB","JR","Texas","Big 12",2017,13.5951
"Muhammad Wilkerson","DL","JR","Temple","MAC",2010,13.5417
"Alijah Halliburton","DB","SR","Wyoming","Mountain West",2019,13.5144
"Kyahva Tezino","LB","SR","San Diego State","Mountain West",2019,13.485
"Damontre Moore","DL","JR","Texas A&M","SEC",2012,13.4576
"Andrew Rich","DB","SR","BYU","Mountain West",2010,13.4163
"Isaiah Simmons","LB","JR","Clemson","ACC",2019,13.4086
"Minkah Fitzpatrick","DB","SO","Alabama","SEC",2016,13.3803
"Richard LeCounte","DB","JR","Georgia","SEC",2019,13.3453
"Elijah Molden","DB","JR","Washington","Pac-12",2019,13.3084
"Logan Wilson","LB","SR","Wyoming","Mountain West",2019,13.2978
"Bruce Miller","DL","SR","UCF","CUSA",2010,13.2472
"Nikita Whitlock","DL","SR","Wake Forest","ACC",2013,13.2222
"Jessie Bates III","DB","FR","Wake Forest","ACC",2016,13.1673
"Danny Trevathan","LB","SR","Kentucky","SEC",2011,13.0484
"Mark Barron","DB","SR","Alabama","SEC",2011,13.0424
"T.J. Edwards","LB","JR","Wisconsin","Big Ten",2017,13.0314
"Harrison Phillips","DL","SR","Stanford","Pac-12",2017,13.0224
"Cornellius Carradine","DL","SR","Florida State","ACC",2012,13.0112
"Johnathan Abram","DB","SR","Mississippi State","SEC",2018,12.9062
"Raekwon Davis","DL","SO","Alabama","SEC",2017,12.8885
"Marcus Trice","DB","SR","North Texas","CUSA",2013,12.8832
"William Gholston","DL","JR","Michigan State","Big Ten",2012,12.873
"Josh Allen","LB","SR","Kentucky","SEC",2018,12.8673
"Bennett Jackson","DB","JR","Notre Dame","Independent",2012,12.8268
"Zach Vigil","LB","SR","Utah State","Mountain West",2014,12.8175
"Marcus Smith","DL","SR","Louisville","American",2013,12.7842
"Tyrann Mathieu","DB","SO","LSU","SEC",2011,12.7812
"Ronald Blair","DL","SR","Appalachian State","Sun Belt",2015,12.7622
"Ed Oliver","DL","FR","Houston","American",2016,12.7588
"Joey Bosa","DL","JR","Ohio State","Big Ten",2015,12.7425
"Anthoula Kelly","DB","SR","Fresno State","Mountain West",2018,12.7379
"Logan Ryan","DB","JR","Rutgers","Big East",2012,12.7372
"Colin Jones","DB","SR","TCU","Mountain West",2010,12.7169
"Whitney Mercilus","DL","JR","Illinois","Big Ten",2011,12.7058
"Stephon Tuitt","DL","SO","Notre Dame","Independent",2012,12.6952
"Kareem Martin","DL","SR","North Carolina","ACC",2013,12.6769
"DeVon Edwards","DB","SO","Duke","ACC",2014,12.6544
"Juan Thornhill","DB","SR","Virginia","ACC",2018,12.6287
"Zach Allen","DL","JR","Boston College","ACC",2017,12.6261
"Ed Oliver","DL","SO","Houston","American",2017,12.6183
"Harold Landry","DL","SO","Boston College","ACC",2015,12.5531
"Evan Weaver","LB","JR","California","Pac-12",2018,12.5453
"Elandon Roberts","LB","SR","Houston","American",2015,12.504
"Arden Key","DL","SO","LSU","SEC",2016,12.4705
"Matt Elam","DB","JR","Florida","SEC",2012,12.4656
"Stephen Johnson","LB","SR","Temple","MAC",2011,12.4614
"Chase Winovich","DL","SR","Michigan","Big Ten",2017,12.4057
"Xavier McKinney","DB","JR","Alabama","SEC",2019,12.3721
"Clelin Ferrell","DL","JR","Clemson","ACC",2018,12.3572
"Will Davis","DB","SR","Utah State","WAC",2012,12.3483
"Khalil Mack","LB","SR","Buffalo","MAC",2013,12.3294
"James Morris","LB","SR","Iowa","Big Ten",2013,12.3251
"Henry Anderson","DL","SR","Stanford","Pac-12",2014,12.3202
"Tyler Matakevich","LB","SR","Temple","American",2015,12.2902
"Damontae Kazee","DB","JR","San Diego State","Mountain West",2015,12.2701
"Jordan Kunaszyk","LB","SR","California","Pac-12",2018,12.2477
"Mike Edwards","DB","SR","Kentucky","SEC",2018,12.2315
"Da'Quan Bowers","DL","JR","Clemson","ACC",2010,12.2306
"Zack Baun","LB","SR","Wisconsin","Big Ten",2019,12.2212
"Ahmad Black","DB","SR","Florida","SEC",2010,12.1698
"Jonathan Allen","DL","SR","Alabama","SEC",2016,12.1678
"Chase Hansen","LB","SR","Utah","Pac-12",2018,12.1547
"Carl Granderson","DL","JR","Wyoming","Mountain West",2017,12.1515
"Maxx Crosby","DL","JR","Eastern Michigan","MAC",2018,12.1466
"Antoine Winfield Jr.","DB","SO","Minnesota","Big Ten",2019,12.1442
"Nick Bolton","LB","SO","Missouri","SEC",2019,12.1375
"Tejay Johnson","DB","SR","TCU","Mountain West",2010,12.1291
"Leighton Vander Esch","LB","JR","Boise State","Mountain West",2017,12.1145
"Charles Harris","DL","SO","Missouri","SEC",2015,12.11
"Clelin Ferrell","DL","SO","Clemson","ACC",2017,12.1096
"Isaiah Simmons","DB","SO","Clemson","ACC",2018,12.1066
"Rasul Douglas","DB","SR","West Virginia","Big Ten",2016,12.091
"Josey Jewell","LB","SR","Iowa","Big Ten",2017,12.0835
"Gerod Holliman","DB","SO","Louisville","ACC",2014,12.0734
"Chris Borland","LB","SO","Wisconsin","Big Ten",2011,12.0639
"Sutton Smith","DL","JR","Northern Illinois","MAC",2018,12.0257
"Andrew Wingard","DB","JR","Wyoming","Mountain West",2017,12.0185
"Josey Jewell","LB","SO","Iowa","Big Ten",2015,11.9967
"Dom DeCicco","DB","SR","Pittsburgh","Big East",2010,11.9757
"Darqueze Dennard","DB","SR","Michigan State","Big Ten",2013,11.9747
"Kapron Lewis-Moore","DL","SR","Notre Dame","Independent",2012,11.9717
"Scooby Wright III","LB","SO","Arizona","Pac-12",2014,11.9619
"Gerald Hodges","LB","SR","Penn State","Big Ten",2012,11.9426
"Owen Marecic","RB","SR","Stanford","Pac-10",2010,11.9227
"Sutton Smith","DL","SO","Northern Illinois","MAC",2017,11.9146
"Ryan Shazier","LB","SO","Ohio State","Big Ten",2012,11.9084
"Anthony Zettel","DL","JR","Penn State","Big Ten",2014,11.8941
"Anthony Walker","LB","SO","Northwestern","Big Ten",2015,11.8779
"Dele Harding","LB","SR","Illinois","Big Ten",2019,11.8732
"Ryan Mueller","DL","JR","Kansas State","Big 12",2013,11.8683
"Timmy Jernigan","DL","JR","Florida State","ACC",2013,11.8396
"Shilique Calhoun","DL","SO","Michigan State","Big Ten",2013,11.8391
"Calvin Pryor","DB","JR","Louisville","American",2013,11.8203
"Haason Reddick","DL","SR","Temple","American",2016,11.8087
"Leonard Williams","DL","JR","USC","Pac-12",2014,11.7525
"Bronson Kaufusi","DL","SR","BYU","Independent",2015,11.7498
"Vinny Curry","DL","JR","Marshall","CUSA",2010,11.7438
"Jeremy Cash","DB","JR","Duke","ACC",2014,11.7377
"Jordan Hill","DL","SR","Penn State","Big Ten",2012,11.7285
"J.J. Watt","DL","JR","Wisconsin","Big Ten",2010,11.7259
"Adrian Robinson","DL","SR","Temple","MAC",2011,11.7248
"Mike McCray","LB","SR","Michigan","Big Ten",2016,11.709
"Julian Miller","DL","JR","West Virginia","Big East",2010,11.6986
"Roquan Smith","LB","JR","Georgia","SEC",2017,11.6701
"Tremaine Edmunds","LB","JR","Virginia Tech","ACC",2017,11.6552
"Kenny Willekes","DL","SO","Michigan State","Big Ten",2017,11.6447
"Jeff Allison","LB","JR","Fresno State","Mountain West",2018,11.6439
"Aidan Hutchinson","DL","SO","Michigan","Big Ten",2019,11.6434
"Tariq Thompson","DB","JR","San Diego State","Mountain West",2019,11.6326
"Keith Tandy","DB","JR","West Virginia","Big East",2010,11.6303
"Greg Blair","LB","SR","Cincinnati","Big East",2012,11.6134
"Micah Hyde","DB","SO","Iowa","Big Ten",2010,11.5955
"Trevor Reilly","DL","SR","Utah","Pac-12",2013,11.5866
"Blake Martinez","LB","JR","Stanford","Pac-12",2014,11.5838
"Kevin Minter","LB","JR","LSU","SEC",2012,11.5801
"Khaseem Greene","DB","JR","Rutgers","Big East",2011,11.554
"Ja'Whaun Bentley","LB","SR","Purdue","Big Ten",2017,11.5528
"Jadeveon Clowney","DL","SO","South Carolina","SEC",2012,11.5523
"Solomon Thomas","DL","JR","Stanford","Pac-12",2016,11.5478
"Jake Doughty","LB","SR","Utah State","Mountain West",2013,11.5418
"Obi Melifonwu","DB","SR","Connecticut","American",2016,11.5134
"James Nachtigal","LB","SR","Army","Independent",2018,11.5092
"Chauncey Golston","DL","JR","Iowa","Big Ten",2019,11.4697
"Nate Orchard","DL","SR","Utah","Pac-12",2014,11.4629
"Jatavis Brown","LB","SR","Akron","MAC",2015,11.4542
"Danny Shelton","DL","SR","Washington","Pac-12",2014,11.4497
"Dwayne Johnson Jr.","DB","JR","San Diego State","Mountain West",2019,11.4451
"Harrison Smith","DB","SR","Notre Dame","Independent",2010,11.4391
"Micah Parsons","LB","SO","Penn State","Big Ten",2019,11.4109
"Clayton Fejedelem","DB","SR","Illinois","Big Ten",2015,11.4008
"Desmond King","DB","JR","Iowa","Big Ten",2015,11.383
"Alex Barrett","DL","JR","San Diego State","Mountain West",2015,11.3758
"Eric Kendricks","LB","SR","UCLA","Pac-12",2014,11.3681
"Danielle Hunter","DL","JR","LSU","SEC",2014,11.3525
"Josh Jackson","DB","JR","Iowa","Big Ten",2017,11.3521
"Max Bullough","LB","JR","Michigan State","Big Ten",2012,11.3504
"Jordan Richards","DB","SR","Stanford","Pac-12",2014,11.3384
"Denicos Allen","LB","SR","Michigan State","Big Ten",2013,11.3279
"Markus Golden","DL","SR","Missouri","SEC",2014,11.3181
"Jamal Davis II","DL","SR","Akron","MAC",2018,11.3147
"Paris Ford","DB","SO","Pittsburgh","ACC",2019,11.3071
"Ryan Shazier","LB","JR","Ohio State","Big Ten",2013,11.2915
"Jabaree Tuani","DL","JR","Navy","Independent",2010,11.273
"Adolphus Washington","DL","SR","Ohio State","Big Ten",2015,11.2665
"Robert Lester","DB","SO","Alabama","SEC",2010,11.245
"Tank Jakes","LB","SR","Memphis","American",2014,11.2383
"Preston Brown","LB","SR","Louisville","American",2013,11.2217
"Nick Vigil","LB","SO","Utah State","Mountain West",2014,11.1993
"Jaron Bryant","DB","SO","Fresno State","Mountain West",2017,11.1814
